0.97395,0.76360,88.49600,1.09055,0.79346,0.78399,90.85500,115.44900,1.49311,1.47405,1.14215,0.87978,132.28900,1.63692,1.18479,1.70593,1.66718,1.30277,142.44600,1.77653,1.28694,0.88984,0.69763,80.84800,0.72327,1.27575,0.97247,110.68500
0.97998,0.76348,88.59200,1.08505,0.78845,0.77901,90.38000,115.87800,1.49557,1.47797,1.14227,0.87663,132.35900,1.62730,1.17926,1.70459,1.66163,1.30197,142.00800,1.77879,1.28902,0.90054,0.70139,81.37400,0.73096,1.26202,0.96566,110.18500
0.97652,0.76231,88.27700,1.08669,0.78550,0.78064,90.39900,116.00800,1.49549,1.47818,1.14362,0.87722,132.52400,1.62891,1.17494,1.71081,1.67124,1.30432,140.98900,1.77884,1.28665,0.89920,0.70196,81.29000,0.72805,1.26739,0.96292,109.58300
0.97852,0.75917,88.23700,1.08436,0.78522,0.77586,90.17100,115.79100,1.50001,1.47526,1.14431,0.87673,132.43100,1.63634,1.17783,1.70859,1.67070,1.29726,140.43500,1.76277,1.28646,0.90121,0.69918,81.26600,0.73057,1.25763,0.96412,109.14400
0.97610,0.75772,88.06500,1.09256,0.78421,0.77602,90.10000,116.21500,1.50715,1.47519,1.14320,0.88200,132.99300,1.63830,1.18194,1.70955,1.67202,1.29635,140.56200,1.76667,1.28972,0.89929,0.69806,81.14100,0.73256,1.25592,0.96166,108.99100
0.97936,0.76311,88.23900,1.09438,0.78309,0.77919,90.09700,116.01700,1.50798,1.47177,1.14420,0.88153,132.83200,1.63067,1.18131,1.69597,1.66927,1.29434,140.45300,1.75999,1.28195,0.90046,0.70160,81.12800,0.72780,1.25617,0.96815,109.56000
0.97837,0.76276,88.42500,1.08762,0.78267,0.77961,90.37500,115.62300,1.49927,1.47645,1.14374,0.88393,132.29800,1.64119,1.17350,1.68979,1.66106,1.28899,139.55000,1.76006,1.28004,0.89383,0.69684,80.78400,0.72213,1.25473,0.96549,109.02600
0.98080,0.76640,88.61800,1.08586,0.78358,0.78139,90.34900,115.91500,1.49938,1.47431,1.14679,0.88727,132.59100,1.64115,1.17492,1.68580,1.65331,1.29215,140.22300,1.76094,1.27991,0.89428,0.69867,80.78900,0.72064,1.25157,0.96547,109.56300
0.97920,0.76244,87.90800,1.08582,0.78614,0.77860,89.76800,115.61700,1.49617,1.46997,1.14566,0.88746,132.59900,1.64504,1.17628,1.68350,1.65352,1.28364,140.76300,1.77192,1.28717,0.89431,0.69637,80.28100,0.72345,1.24721,0.95644,109.34800
0.97394,0.75975,87.49900,1.08603,0.77903,0.78004,89.83600,115.28500,1.50247,1.47779,1.14779,0.89244,132.08800,1.65633,1.17054,1.68199,1.64866,1.27802,141.29000,1.77639,1.29323,0.88820,0.69287,79.79600,0.72549,1.25057,0.95535,109.25500
0.97322,0.76027,87.18900,1.08750,0.77665,0.77985,89.83600,115.16500,1.51059,1.48594,1.14701,0.89805,132.19000,1.65433,1.17326,1.67681,1.63827,1.27728,141.66800,1.77670,1.29224,0.88729,0.69298,79.74700,0.72546,1.25166,0.95523,109.63100
